"omim"	"disease_label"	"gene_label"	"enh_label"	"chr_label"	"enh_start"	"enh_end"	"enh_source_name"	"dist_TSSgene_enhMiddle"	"prot_label"	"bp"	"bp_label"	"prot_interact_label"	"posit_tf2gene"	"neg_tf2gene"
"604317"	"MICROCEPHALY 2, PRIMARY, AUTOSOMAL RECESSIVE, WITH OR WITHOUT CORTICAL MALFORMATIONS"	"WDR62"	"crm/CRMHS00000103765"	"chr-19"	35702349	35702660	"EnhancerDB"	352377	"WDR62_HUMAN"	"http://purl.obolibrary.org/obo/GO_0002052"	"positive regulation of neuroblast proliferation"	"ZBBX_HUMAN"		
"604317"	"MICROCEPHALY 2, PRIMARY, AUTOSOMAL RECESSIVE, WITH OR WITHOUT CORTICAL MALFORMATIONS"	"WDR62"	"crm/CRMHS00000103765"	"chr-19"	35702349	35702660	"FANTOM5"	352377	"WDR62_HUMAN"	"http://purl.obolibrary.org/obo/GO_0002052"	"positive regulation of neuroblast proliferation"	"ZBBX_HUMAN"		
"617061"	"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 44, WITH MICROCEPHALY"	"TRIO"	"crm/CRMHS00000140917"	"chr-5"	14444246	14445917	"VISTA"	301739	"TRIO_HUMAN"	"http://purl.obolibrary.org/obo/GO_0006468"	"protein phosphorylation"	"ZN785_HUMAN"		
"618825"	"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 63, WITH MACROCEPHALY"	"TRIO"	"crm/CRMHS00000140917"	"chr-5"	14444246	14445917	"VISTA"	301739	"TRIO_HUMAN"	"http://purl.obolibrary.org/obo/GO_0006468"	"protein phosphorylation"	"ZN785_HUMAN"		
"617061"	"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 44, WITH MICROCEPHALY"	"TRIO"	"crm/CRMHS00000058754"	"chr-5"	12621143	12628122	"dbSUPER"	1518710	"TRIO_HUMAN"	"http://purl.obolibrary.org/obo/GO_0006468"	"protein phosphorylation"	"ZN785_HUMAN"		
"617061"	"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 44, WITH MICROCEPHALY"	"TRIO"	"crm/CRMHS00000059302"	"chr-5"	13976871	14015560	"dbSUPER"	147127	"TRIO_HUMAN"	"http://purl.obolibrary.org/obo/GO_0006468"	"protein phosphorylation"	"ZN785_HUMAN"		
"617061"	"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 44, WITH MICROCEPHALY"	"TRIO"	"crm/CRMHS00000059303"	"chr-5"	13985435	14012844	"dbSUPER"	144203	"TRIO_HUMAN"	"http://purl.obolibrary.org/obo/GO_0006468"	"protein phosphorylation"	"ZN785_HUMAN"		
"617061"	"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 44, WITH MICROCEPHALY"	"TRIO"	"crm/CRMHS00000059305"	"chr-5"	14028603	14055822	"dbSUPER"	101130	"TRIO_HUMAN"	"http://purl.obolibrary.org/obo/GO_0006468"	"protein phosphorylation"	"ZN785_HUMAN"		
"617061"	"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 44, WITH MICROCEPHALY"	"TRIO"	"crm/CRMHS00000059306"	"chr-5"	14032088	14066220	"dbSUPER"	94188	"TRIO_HUMAN"	"http://purl.obolibrary.org/obo/GO_0006468"	"protein phosphorylation"	"ZN785_HUMAN"		
"617061"	"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 44, WITH MICROCEPHALY"	"TRIO"	"crm/CRMHS00000059307"	"chr-5"	14032238	14065908	"dbSUPER"	94269	"TRIO_HUMAN"	"http://purl.obolibrary.org/obo/GO_0006468"	"protein phosphorylation"	"ZN785_HUMAN"		
"617061"	"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 44, WITH MICROCEPHALY"	"TRIO"	"crm/CRMHS00000059309"	"chr-5"	14033636	14056323	"dbSUPER"	98363	"TRIO_HUMAN"	"http://purl.obolibrary.org/obo/GO_0006468"	"protein phosphorylation"	"ZN785_HUMAN"		
"617061"	"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 44, WITH MICROCEPHALY"	"TRIO"	"crm/CRMHS00000059310"	"chr-5"	14034232	14040326	"dbSUPER"	106063	"TRIO_HUMAN"	"http://purl.obolibrary.org/obo/GO_0006468"	"protein phosphorylation"	"ZN785_HUMAN"		
"617061"	"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 44, WITH MICROCEPHALY"	"TRIO"	"crm/CRMHS00000059311"	"chr-5"	14034355	14066662	"dbSUPER"	92834	"TRIO_HUMAN"	"http://purl.obolibrary.org/obo/GO_0006468"	"protein phosphorylation"	"ZN785_HUMAN"		
"617061"	"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 44, WITH MICROCEPHALY"	"TRIO"	"crm/CRMHS00000059312"	"chr-5"	14034535	14040521	"dbSUPER"	105814	"TRIO_HUMAN"	"http://purl.obolibrary.org/obo/GO_0006468"	"protein phosphorylation"	"ZN785_HUMAN"		
"617061"	"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 44, WITH MICROCEPHALY"	"TRIO"	"crm/CRMHS00000059313"	"chr-5"	14034539	14040120	"dbSUPER"	106013	"TRIO_HUMAN"	"http://purl.obolibrary.org/obo/GO_0006468"	"protein phosphorylation"	"ZN785_HUMAN"		
"617061"	"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 44, WITH MICROCEPHALY"	"TRIO"	"crm/CRMHS00000059314"	"chr-5"	14034545	14066348	"dbSUPER"	92896	"TRIO_HUMAN"	"http://purl.obolibrary.org/obo/GO_0006468"	"protein phosphorylation"	"ZN785_HUMAN"		
"617061"	"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 44, WITH MICROCEPHALY"	"TRIO"	"crm/CRMHS00000059315"	"chr-5"	14075648	14119654	"dbSUPER"	45691	"TRIO_HUMAN"	"http://purl.obolibrary.org/obo/GO_0006468"	"protein phosphorylation"	"ZN785_HUMAN"		
